% Model:              coaxial_103mm_704MHz.mph
% Version:            COMSOL 4.3.2.189
% Date:               Jul 1 2021, 13:08
% Dimension:          3
% Nodes:              3885
% Expressions:        3
% Description:        Electric field, x component, Electric field, y component, Electric field, z component
% Length unit:        m
% x                       y                        z                        emw.Ex (V/m) @ freq=7.044e8                       emw.Ey (V/m) @ freq=7.044e8                       emw.Ez (V/m) @ freq=7.044e8
-0.04588683599570095      -0.023380510736586632    0                        -19.172076022892806+206.18607966802637i           -10.047766606643762+105.6177186528501i            0.12345819180382023-0.24884300354980837i
-0.04166437521030981      -0.030270940493062344    0                        -17.350417473892684+187.26428649636836i           -12.605816456643907+136.05547117293537i           1.8696491479003183E-4-0.002017925587133119i
-0.03641599923110722      -0.03641599923110718     0                        -15.491299377724403+163.4895199778686i            -15.487558802418388+163.4500433112372i            0.33172927928081464+0.1624447400857605i
-0.04897941058920042      -0.01591437521030977     0                        -20.708122594478027+220.6179385764483i            -6.731241412607684+71.71256581733402i             -0.0014460531617976704+0.015405803504023478i
-0.05086594954064958      -0.008056374949571876    0                        -21.33693026407933+228.48078422403054i            -3.954870574794228+36.012109685574515i            0.2609728728216463+0.07922369809572515i
-0.047330985853822206     -0.020298467383161746    0.006865114727797724     -41.615071419849684+209.91353468713288i           -17.72174343191044+87.89273072411254i             0.6215029512096173-0.5020250113335294i
-0.04337412556818858      -0.01306546679827078     0.004129623479142839     -39.394101675262064+251.2140679625117i            -11.944912885821104+75.98558528074447i            0.02381770719135248-0.15361362902716216i
-0.03916090722840161      -0.033446574489004434    0.007017630735001234     -34.933723230068324+174.17690927425465i           -29.828928506947406+148.72478779561928i           0.002795861473180361-0.013939954437450448i
-0.041260207193521914     -0.01724582520799012     0.004733302079349915     -40.440687230819066+243.23750336493484i           -16.986503699873516+102.10918094670397i           -0.2077458324660106+0.23756388544139045i
-0.03743744251636129      -0.02314632034520438     0                        -21.85261628736207+231.03076158199798i            -13.241753814771158+142.64563352523743i           -0.07041379774401868-0.01867123936812476i
-0.04019978270248008      -0.01732170308819709     0                        -23.86572419116169+249.7152117743147i             -10.047612087308087+107.98998001006552i           -0.042559222925113716-0.2221465425985798i
-0.043910968464235756     -0.026908676082871338    0.007027549593253695     -39.10941636434527+194.41743521919085i            -23.972781311544825+119.17147047763471i           0.002791951116728775-0.01387911213798438i
-0.03878129385569677      -0.027007512902655486    0.0059595104648479235    -37.90044159804191+205.2449168393463i             -26.458775706852613+143.2695382041138i            0.13496274702528346-0.3268973763763275i
-0.038379013933842576     -0.022081561631366747    0.004748402613844322     -38.38972066499855+231.71784515993937i            -22.081114797413733+132.52027794732464i           -0.0619502367497482+0.22427049776653263i
